"","V1","V2"
"1",28.4453441295547,483.417004048583
"2",30.0555555555556,252.813131313131
"3",21.0546875,53.7734375
"4",15.6991150442478,396.495575221239
"5",19.0730769230769,177.176923076923
"6",286.937888198758,59.2360248447205
"7",148.567307692308,134.841346153846
"8",147.232558139535,333.479069767442
"9",146.312030075188,314.31954887218
"10",146.241666666667,491.504166666667
"11",138.047872340426,450.377659574468
"12",131.090395480226,202.824858757062
"13",44.2883720930233,143.479069767442
"14",48.8872549019608,123.151960784314
"15",50,186.430434782609
"16",51.4393063583815,289.693641618497
"17",63.8425531914894,245.195744680851
"18",61.9533678756477,317.243523316062
"19",69.1531914893617,38.5787234042553
"20",265.842105263158,95.9699248120301
"21",401.445205479452,146.527397260274
"22",387.20218579235,162.071038251366
"23",400.126530612245,240.812244897959
"24",419,183.918181818182
"25",459.21546961326,108.668508287293
"26",462.992366412214,164.809160305344
"27",490.568527918782,43.9695431472081
"28",384.797235023041,88.4654377880184
"29",329.118518518518,50.962962962963
"30",311.70618556701,148.917525773196
"31",153.311111111111,239.524444444444
"32",151.87684729064,195.270935960591
"33",155.842857142857,453.928571428571
"34",153.365217391304,161.147826086957
"35",167.652849740933,284.911917098446
"36",158.540983606557,391.188524590164
"37",173.443548387097,412.475806451613
"38",179.488095238095,308.420634920635
"39",175.301587301587,167.666666666667
"40",238.981981981982,350.391891891892
"41",243.873417721519,266.586497890295
"42",224.602739726027,390.034246575342
"43",226.71875,300.46875
"44",230.687943262411,117.939716312057
"45",231.026666666667,46.9244444444444
"46",247.588235294118,410.803921568627
"47",252.627272727273,170.463636363636
"48",371.994219653179,69.5260115606936
"49",369.748251748252,237.321678321678
"50",333.956284153005,87.103825136612
"51",331.211618257261,115.958506224066
"52",330.610169491525,177.186440677966
"53",371.579881656805,45.7869822485207
"54",228.012987012987,38.4350649350649
"55",326.154228855721,136.238805970149
"56",369.459090909091,125.118181818182
"57",317.25730994152,141.163742690058
"58",145.684659090909,453.886363636364
"59",130.430894308943,161.073170731707
"60",117.01652892562,289.520661157025
"61",122.396121883657,488.501385041551
"62",164.285714285714,314.795918367347
"63",413.013422818792,433.355704697987
"64",415.602409638554,349.963855421687
"65",419.578947368421,232.828947368421
"66",451.036885245902,64.2295081967213
"67",456.202797202797,492.356643356643
"68",261.42,295.63
"69",278.401459854015,291.313868613139
"70",285.432432432432,443.47027027027
"71",276.304932735426,344.757847533632
"72",210.549504950495,125.470297029703
"73",225.531135531136,243.765567765568
"74",35.1535087719298,196.754385964912
"75",32.5167464114833,239.382775119617
"76",22.7676767676768,304.363636363636
"77",18.3492063492063,440.396825396825
"78",20.0395480225989,387.175141242938
"79",18.3982683982684,94.6493506493507
"80",14.2920353982301,248.088495575221
"81",71.8853503184713,66.8917197452229
"82",71.6842105263158,362.815789473684
"83",80.169696969697,401.387878787879
"84",95.2699386503067,207.220858895706
"85",91.224358974359,175.685897435897
"86",97.9401709401709,340.068376068376
"87",99.3257142857143,27.5085714285714
"88",119.006097560976,364.658536585366
"89",486.727848101266,190.145569620253
"90",101.340782122905,46.4581005586592
"91",463.795811518325,310.089005235602
"92",265.634831460674,420.494382022472
"93",374.957055214724,246.331288343558
"94",347.106145251397,74.3072625698324
"95",194.423913043478,352.391304347826
"96",201.273684210526,375.889473684211
"97",381.556291390728,71.728476821192
"98",186.896713615023,257.018779342723
"99",191.708994708995,135.238095238095
"100",197.901098901099,425.035714285714
"101",180.889908256881,44.0963302752294
"102",179.841025641026,232.846153846154
"103",180.728813559322,488.310734463277
"104",182.878947368421,67.5
"105",62.7254901960784,497.003921568627
"106",59.4227642276423,218.837398373984
"107",480.56880733945,42.0321100917431
"108",40.0119047619048,284.202380952381
"109",40.6326530612245,173.673469387755
"110",37.8792270531401,398.714975845411
"111",40.5,41.3828828828829
"112",52.0457516339869,155.248366013072
"113",52.6521739130435,332.788819875776
"114",50.7011952191235,358.131474103586
"115",48.1951219512195,133.482926829268
"116",226.832258064516,179.903225806452
"117",228.858823529412,345.888235294118
"118",224.575630252101,130.819327731092
"119",225.486187845304,450.223756906077
"120",205.424242424242,267.121212121212
"121",204.8,25.5352941176471
"122",218.4375,233.642045454545
"123",357.792642140468,100.622073578595
"124",486.865546218487,82.3613445378151
"125",366.702479338843,196.206611570248
"126",364.369668246445,459.379146919431
"127",359.395683453237,176.36690647482
"128",356.401069518717,43.9465240641711
"129",349.724324324324,137.794594594595
"130",222.821917808219,268.36301369863
"131",224.230337078652,190.707865168539
"132",219.649484536082,95.2525773195876
"133",217.336206896552,151.698275862069
"134",204.079136690647,402.798561151079
"135",204.658436213992,450.399176954733
"136",202.849462365591,300.064516129032
"137",202.125628140704,179.170854271357
"138",86.3058419243986,214.573883161512
"139",82.5644171779141,101.239263803681
"140",77.125,464.115384615385
"141",83.8427672955975,69.2735849056604
"142",85.9962121212121,255.431818181818
"143",62.1336633663366,270.376237623762
"144",75.2573099415205,142.362573099415
"145",64.8121827411168,422.172588832487
"146",253.28515625,437.390625
"147",200,245.805128205128
"148",196.203821656051,293.770700636943
"149",193.231155778894,121.020100502513
"150",189.1004784689,415.200956937799
"151",187.940092165899,218.502304147465
"152",183.977678571429,163.258928571429
"153",182.629834254144,326.895027624309
"154",179.6,397.407142857143
"155",293.636771300448,432.762331838565
"156",207.645739910314,40.1210762331839
"157",296.4,109.217021276596
"158",324.24,294.951111111111
"159",292.592233009709,91.368932038835
"160",327.29648241206,61.0653266331658
"161",334.882352941176,156.828054298643
"162",336.346666666667,383.74
"163",367.023121387283,102.248554913295
