"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"small-world" 1 1018 11 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 12 "Nlasso_JOE(AND)" 40 28 372 39560 0.916256157635468
"small-world" 1 1018 12 "Nlasso_JOE(OR)" 244 20 380 39356 0.7421875
"small-world" 1 1018 12 "Nlasso(AND)" 132 2 398 39468 0.855913978494624
"small-world" 1 1018 12 "Nlasso(OR)" 326 0 400 39274 0.710479573712256
"small-world" 1 1018 12 "Glasso" 692 0 400 38908 0.536193029490617
"small-world" 1 1018 12 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 12 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 13 "Nlasso_JOE(AND)" 38 24 376 39562 0.923832923832924
"small-world" 1 1018 13 "Nlasso_JOE(OR)" 192 20 380 39408 0.781893004115226
"small-world" 1 1018 13 "Nlasso(AND)" 2002 0 400 37598 0.285510349750178
"small-world" 1 1018 13 "Nlasso(OR)" 1956 0 400 37644 0.290275761973875
"small-world" 1 1018 13 "Glasso" 576 0 400 39024 0.581395348837209
"small-world" 1 1018 13 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 13 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 14 "Nlasso_JOE(AND)" 42 24 376 39558 0.919315403422983
"small-world" 1 1018 14 "Nlasso_JOE(OR)" 186 20 380 39414 0.786749482401656
"small-world" 1 1018 14 "Nlasso(AND)" 150 0 400 39450 0.842105263157895
"small-world" 1 1018 14 "Nlasso(OR)" 278 0 400 39322 0.742115027829313
"small-world" 1 1018 14 "Glasso" 598 0 400 39002 0.572246065808298
"small-world" 1 1018 14 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 14 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 15 "Nlasso_JOE(AND)" 24 26 374 39576 0.93734335839599
"small-world" 1 1018 15 "Nlasso_JOE(OR)" 200 20 380 39400 0.775510204081633
"small-world" 1 1018 15 "Nlasso(AND)" 1860 2 398 37740 0.299473288186606
"small-world" 1 1018 15 "Nlasso(OR)" 1856 0 400 37744 0.301204819277108
"small-world" 1 1018 15 "Glasso" 580 0 400 39020 0.579710144927536
"small-world" 1 1018 15 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 15 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 16 "Nlasso_JOE(AND)" 26 24 376 39574 0.937655860349127
"small-world" 1 1018 16 "Nlasso_JOE(OR)" 184 20 380 39416 0.788381742738589
"small-world" 1 1018 16 "Nlasso(AND)" 1798 2 398 37802 0.306625577812018
"small-world" 1 1018 16 "Nlasso(OR)" 1772 0 400 37828 0.31104199066874
"small-world" 1 1018 16 "Glasso" 56 10 390 39544 0.921985815602837
"small-world" 1 1018 16 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 16 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 17 "Nlasso_JOE(AND)" 0 60 340 39600 0.918918918918919
"small-world" 1 1018 17 "Nlasso_JOE(OR)" 6 38 362 39594 0.942708333333333
"small-world" 1 1018 17 "Nlasso(AND)" 1788 0 400 37812 0.309119010819165
"small-world" 1 1018 17 "Nlasso(OR)" 1850 0 400 37750 0.30188679245283
"small-world" 1 1018 17 "Glasso" 68 18 382 39532 0.898823529411765
"small-world" 1 1018 17 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 17 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 18 "Nlasso_JOE(AND)" 46 28 372 39554 0.909535452322738
"small-world" 1 1018 18 "Nlasso_JOE(OR)" 218 20 380 39382 0.761523046092184
"small-world" 1 1018 18 "Nlasso(AND)" 1924 2 398 37676 0.292432035268185
"small-world" 1 1018 18 "Nlasso(OR)" 1876 2 398 37724 0.297681376215408
"small-world" 1 1018 18 "Glasso" 648 2 398 38952 0.550484094052559
"small-world" 1 1018 18 "DBGlasso_Holm" 0 400 0 39600 0
"small-world" 1 1018 18 "DBGlasso_FDR" 0 400 0 39600 0
"small-world" 1 1018 19 "Nlasso_JOE(AND)" 34 26 374 39566 0.925742574257426
