"graph" "p" "n1" "alpha" "tuning_c1" "tuning_c2"
"star" 200 500 1 0.4 0.4
"star" 200 500 1.2 0.4 0.4
"star" 200 125 1 0.2 0.1
"star" 200 250 1 0.2 0.2
"star" 200 500 1.5 0.4 0.4
"star" 200 1000 1 0.4 0.4
"star" 200 250 1.2 0.2 0.2
"star" 200 1000 1.5 0.4 0.4
"star" 200 1000 1.2 0.4 0.4
"star" 200 125 1.5 0.1 0.2
"star" 200 250 1.5 0.2 0.2
"star" 200 125 1.2 0.1 0.2
